subfolder,filename,n,m,T_star,Cmax,ratio,time_total,best_objective,best_type,best_gap,best_time
Instanciasde1000a1100,119.txt,100,10,10078,12101.0,1.200734,0.156,10097.0,0.0,0.0,34.33
Instanciasde1000a1100,120.txt,100,10,10088,11073.0,1.097641,0.153,10097.0,1.0,5.0,300.0
Instanciasde1000a1100,121.txt,100,20,5022,6029.0,1.200518,0.392,5028.0,1.0,1.0,300.0
Instanciasde1000a1100,122.txt,100,20,5026,6071.0,1.207919,0.326,5038.0,1.0,1.0,300.0
Instanciasde1000a1100,123.txt,100,20,5025,7032.0,1.399403,0.347,5036.0,0.0,0.0,225.24
Instanciasde1000a1100,124.txt,100,20,5024,6031.0,1.200438,0.298,5037.0,0.0,0.0,6.42
Instanciasde1000a1100,125.txt,100,20,5026,6045.0,1.202746,0.287,5037.0,0.0,0.0,1197.56
Instanciasde1000a1100,126.txt,100,20,5024,6019.0,1.198049,0.236,5035.0,1.0,6.24839,300.0
Instanciasde1000a1100,127.txt,100,20,5027,6035.0,1.200517,0.262,5035.0,0.0,0.0,108.16
Instanciasde1000a1100,128.txt,100,20,5025,7036.0,1.400199,0.254,5036.0,1.0,2.0,300.0
Instanciasde1000a1100,129.txt,100,20,5027,6038.0,1.201114,0.248,5035.0,1.0,2.0,300.0
Instanciasde1000a1100,130.txt,100,20,5025,7031.0,1.399204,0.283,5033.0,1.0,1.0,300.0
Instanciasde1000a1100,131.txt,100,30,3347,4029.0,1.203765,0.405,4008.0,1.0,229.111,300.0
Instanciasde1000a1100,132.txt,100,30,3347,4031.0,1.204362,0.434,4006.0,1.0,131.0,300.0
Instanciasde1000a1100,133.txt,100,30,3345,4026.0,1.203587,0.383,4006.0,1.0,173.456,300.0
Instanciasde1000a1100,134.txt,100,30,3345,4023.0,1.202691,0.38,4007.0,1.0,111.0,300.0
Instanciasde1000a1100,135.txt,100,30,3344,4018.0,1.201555,0.383,4006.0,1.0,214.035,300.0
Instanciasde1000a1100,136.txt,100,30,3344,4019.0,1.201854,0.398,4007.0,1.0,209.97,300.0
Instanciasde1000a1100,137.txt,100,30,3344,4029.0,1.204844,0.395,4007.0,1.0,285.91,300.0
Instanciasde1000a1100,138.txt,100,30,3347,4033.0,1.20496,0.417,4010.0,1.0,257.0,300.0
Instanciasde1000a1100,139.txt,100,30,3345,5015.0,1.499253,0.395,4008.0,1.0,154.786,300.0
Instanciasde1000a1100,140.txt,100,30,3345,4025.0,1.203288,0.409,4007.0,1.0,228.0,300.0
Instanciasde1000a1100,141.txt,100,40,2507,3025.0,1.206621,0.693,3005.0,1.0,38.0,300.0
Instanciasde1000a1100,142.txt,100,40,2508,3027.0,1.206938,0.568,3006.0,1.0,88.6671,300.0
Instanciasde1000a1100,143.txt,100,40,2508,3037.0,1.210925,0.572,3005.0,1.0,58.9209,300.0
Instanciasde1000a1100,144.txt,100,40,2507,3018.0,1.203829,0.612,3005.0,1.0,48.3301,300.0
Instanciasde1000a1100,145.txt,100,40,2507,3017.0,1.20343,0.576,3006.0,1.0,97.3119,300.0
Instanciasde1000a1100,146.txt,100,40,2506,4000.0,1.596169,0.607,3005.0,1.0,84.0,300.0
Instanciasde1000a1100,147.txt,100,40,2506,3019.0,1.204709,0.635,3004.0,1.0,65.9057,300.0
Instanciasde1000a1100,148.txt,100,40,2508,3025.0,1.20614,0.687,3005.0,1.0,121.398,300.0
Instanciasde1000a1100,149.txt,100,40,2507,3016.0,1.203032,0.642,3005.0,1.0,68.392,300.0
Instanciasde1000a1100,150.txt,100,40,2507,3019.0,1.204228,0.58,3005.0,1.0,102.239,300.0
Instanciasde1000a1100,151.txt,100,50,2005,3007.0,1.499751,0.631,2013.0,0.0,0.0,0.61
Instanciasde1000a1100,152.txt,100,50,2004,3037.0,1.515469,0.699,2010.0,0.0,0.0,8.66
Instanciasde1000a1100,153.txt,100,50,2005,3011.0,1.501746,0.682,2012.0,0.0,0.0,12.2
Instanciasde1000a1100,154.txt,100,50,2005,4005.0,1.997506,0.716,2026.0,0.0,0.0,11.92
Instanciasde1000a1100,155.txt,100,50,2004,3007.0,1.500499,0.86,2010.0,0.0,0.0,59.36
Instanciasde1000a1100,156.txt,100,50,2005,3008.0,1.500249,0.898,2014.0,0.0,0.0,9.59
Instanciasde1000a1100,157.txt,100,50,2004,3011.0,1.502495,0.802,2009.0,0.0,0.0,14.3
Instanciasde1000a1100,158.txt,100,50,2005,3011.0,1.501746,0.818,2011.0,0.0,0.0,15.86
Instanciasde1000a1100,159.txt,100,50,2005,3011.0,1.501746,0.671,2015.0,0.0,0.0,11.8
Instanciasde1000a1100,160.txt,100,50,2004,3010.0,1.501996,0.824,2012.0,0.0,0.0,8.47
Instanciasde1000a1100,211.txt,200,10,20179,21162.0,1.048714,0.399,20193.0,1.0,4.0,300.0
Instanciasde1000a1100,212.txt,200,10,20174,21172.0,1.04947,0.364,20182.0,1.0,3.0,300.0
Instanciasde1000a1100,213.txt,200,10,20172,22225.0,1.101775,0.613,20177.0,1.0,3.0,300.0
Instanciasde1000a1100,214.txt,200,10,20181,22154.0,1.097765,0.445,20188.0,1.0,5.0,300.0
